label,sentence
2,"India should accept historical reality of Kashmir issue,
"
0,"India would achieve nothing by spending huge amounts of money to crush the ongoing movement in Kashmir
"
0,"Killings in Shopian area on April 1 have once again made it clear that apprehensions about more bloodshed and destruction can not be ruled out in view of non-resolution of long pending Kashmir issue.
"
0,"The increasing pace of bloodshed since past few months is highly terrifying
"
0,"hat uncertain situation in Kashmir has been increasing with each passing day,
"
2,"demands introspection by all political parties.
"
0,"Right Wing parties might be making efforts to divert attention of people from basic stimulants of the issue
"
2,"but reality can’t be ignored that there is no other option except composite dialogue to prevent ongoing bloodshed.
"
0,"claim to be representatives of people
"
2,"the Central Government has been announcing new programmes to save young generation from current situation
"
0,"t has been using indiscriminate force to suppress the resistance of unarmed civilians which affects young generation more
"
0,"ground situation indicates that administration can’t consider itself free from blame
"
2,"The Central may hold infiltration from across the border responsible for present situation
"
0,"Neither New Delhi nor Islamabad appears willing to take them out of such a situation.
"
0,"State rulers, opposition; and resistance political parties need to shun their ego
"
2,"hink about a political approach which could prevent Kashmir from becoming political economy;
"
2,"which could put pressure on New Delhi and Islamabad for comprehending miseries of people; and which could help in removing the present atmosphere of blood shed.
"
2,"Indo-Pak Army Chiefs are a positive beginning for Kashmir dispute
"
0,"moment of worry of pro-Hurriyat leadership
"
2,"death penalty for culprits involved in rape of minor girls
"
0,"shameful incidents that occurred recently at Unnao (UP) and Kathua (J&K).
"
0,"Rape and murder of minor Asifa at Kathua is a serious and unpardonable crime.
"
0,"For the first time, Indian authorities had to admit that rape of a minor girl has ashamed India before world community
"
2,"demanded justice for victims
"
2,"new law would prove a milestone for safety, dignity and modesty of women
"
2,"State Government deserves appreciation.
"
0,"People might have complaints and anger against Chief Minister
"
2,"she has taken personal interest in Kathua incident and ensured arrest of culprits and court proceedings
"
2,"big pro-women step which is in conformity with human nature.
"
0,"reply is that the Government should honour sentiments and feelings of youth
"
2,"any decision about them should be taken after full consideration
"
0,"There is lot of difference between today’s youth and the youth 30 years back when militancy started in Kashmir
"
2,"a strategy is needed which could make them feel and understand that something is being done for their welfare.
"
0,"Police and any other forces should be disciplined enough
"
0,"Their job is not to use violence against people
"
0,"Using violence and indiscriminate arrests increase anger among people and youths
"
0,"found disturbing law and order or raising slogans
"
2,"The views expressed by Indo-Pak Army leadership are a reality for resolving Kashmir issue through dialogue
"
2,"should adopt a serious approach and start dialogue process without delay
"
2,"Indo-Pak Army Chiefs are a positive beginning for Kashmir dispute
"
0,"moment of worry of pro-Hurriyat leadership
"
0,"social networking sites with a gun in his hand has confirmed his joining militant ranks
"
0,"ut did not turn up after leaving home for a walk
"
0,"two Army Generals have described violence as a futile exercise
"
2,"political circles would be congratulating both the Generals
"
0,"urging political leaders to come on dialogue table to resolve mutual issues without wasting any time
"
2,"Army Generals of India and Pakistan are fully aware of destructions caused by wa
"
0,"General Bipin Rawat that Kashmir issue can’t be solved by bullets hints at positive thinking towards real situation of Kashmir
"
2,"that solution of disputes between India and Pakistan, including Kashmir, lies in peaceful talks and that he is always ready to proceed ahead in this direction
"
0,"why collision on Line of Control and why intensified killings in Kashmir
"
0,"different political circles have been acting behind the scene
"
2,"a positive atmosphere could develop in the subcontinent
"
2,"they should make efforts to awaken political leadership and policy-makers of respective countries about it
"
2,"if they succeed in convincing them for resolution of issues through dialogue
"
0,"it is also a fact that if such efforts are meant only for time pass, then there is apprehension of damage instead of any benefit
"
0,"sincerity is needed in every step taken in this direction
"
0,"Army Chiefs should create feeling in their political leadership about damages of collision.
"
2,"view that violence and force is not solution of any issue; instead dialogue is the only way to resolve issues.
"
0,"the question is whether meaning of both these statement is same or not?
"
2,"it would become known that meaning and connotation of views expressed by both of them is same.
"
2,"Qamar Bajwa has said that conflict between India and Pakistan can’t resolve any issue; instead dialogue is only means for durable solution of issues.
"
0,"General Bipin Rawat is somewhat different.
"
0,"He did not speak about Indo-Pak collision.
"
2,"The new and more important view expressed by him is that forces too won’t achieve anything.
"
2,"he has accepted that current violence is not good for any one and nobody is going to achieve anything from it
"
2,"Army Chiefs of both countries have described resolution of Kashmir issue as inevitable.
"
2,"The fact is that only Pakistan Army Chief has said so.
"
2,"because views of Army are very important in Pakistan as compared to the views of its Government.
"
0,"because no reaction is being expressed in India on the statements of Army.
"
2,"there is no importance to this statement on which several circles have been expressing joy.
"
2,"Army Chiefs express concern over the situation, a message goes to their governments which are being kept in view while framing policies
"
0,"Pakistan is also worried about the situation on Line of Contro
"
2,", both the countries would agree to come on dialogue table and move forward for the resolution of long pending issues.
"
0,"Kashmir issue is being suppressed for the last 70 years by force,
"
2,"very section of thought has welcomed it.
"
2,"every section of thought has welcomed it.
"
0,"Hopes of the people have been washed away
"
2,"BJP and its allied parties tried their best to revoke this Article
"
2,"upreme Court’s decision on the petition against Article 35/A, hearing for which is scheduled on April 9, would also be based on facts.
"
2,"Welcoming statements of Indo-Pak Army Chiefs,
"
2,"stressed on dialogue and reconciliation for peace
"
2,"has expressed hope that political leadership and governments of both neighbouring countries would come on dialogue table without wasting time.
"
2,"Security agencies have decided to adopt a new strategy
"
2,"keep youth away from encounter sites
"
2,"has decided to contact respectable people
"
2,"lives of common people could be saved.
"
2,"necessary to take local people into confidence so that youth could be kept away from encounter sites
"
2,"rape murder case of Asifa of Kathua (Jammu) as prejudicial and venomous
"
0,"Muslims to leave the era
"
0,"Chandra Prakash Ganga in his speech called the rape and murder of Asifa as a routine incident.
"
0,"Killings in Shopian area on April 1 have once again made it clear that apprehensions about more bloodshed and destruction can not be ruled out in view of non-resolution of long pending Kashmir issue.
"
0,"The increasing pace of bloodshed since past few months is highly terrifying
"
0,"hat uncertain situation in Kashmir has been increasing with each passing day,
"
2,"demands introspection by all political parties.
"
0,"Right Wing parties might be making efforts to divert attention of people from basic stimulants of the issue
"
2,"but reality can’t be ignored that there is no other option except composite dialogue to prevent ongoing bloodshed.
"
0,"claim to be representatives of people
"
2,"the Central Government has been announcing new programmes to save young generation from current situation
"
0,"t has been using indiscriminate force to suppress the resistance of unarmed civilians which affects young generation more
"
0,"ground situation indicates that administration can’t consider itself free from blame
"
2,"The Central may hold infiltration from across the border responsible for present situation
"
0,"Neither New Delhi nor Islamabad appears willing to take them out of such a situation.
"
0,"State rulers, opposition; and resistance political parties need to shun their ego
"
2,"hink about a political approach which could prevent Kashmir from becoming political economy;
"
2,"which could put pressure on New Delhi and Islamabad for comprehending miseries of people; and which could help in removing the present atmosphere of blood shed.
"
0,"While normal life was affected by Jammu Bandh call,
"
2,"local Trade Unions and Bar Associations of Peer Panchal and Chenab regions took an appreciable step by remaining away from the Bandh call
"
0,"which has apparently discouraged the forces which want to flare up communal passion in Jammu for their own interests
"
2,"Decision of Jammu Trade Union not to support the Bandh call has been appreciated by sensible public circles
"
0,"discourage evil intentions of some anti-social elements and defeat their attempts
"
0,"started to divide the society
"
0,"otherwise serious consequences could emerge engulfing the whole of State.
"
